Time,Price,Volume,Returns,Bulls,Bears
2017082718,4354.9,310.0806768,0.00204786,16242.1162,17367.21456
2017082720,4349.23,280.4993155,-0.001301982,16226.75039,17368.95419
2017082722,4337.68,222.0661422,-0.002655642,16213.38395,17369.54708
2017082800,4307,844.2625103,-0.007072905,16153.65048,17460.13256
2017082802,4280.01,423.6003295,-0.006266543,16036.06102,17518.30175
2017082804,4227.6,2104.209024,-0.012245298,16741.35419,17951.34705
2017082806,4279.99,435.0845755,0.012392374,16563.24533,17956.97428
2017082808,4294,763.0325675,0.003273372,16578.59705,18070.76061
2017082810,4318.8,377.0782911,0.005775501,16377.24137,18264.02052
2017082812,4318.14,323.4713199,-0.00015282,16253.56806,18343.13822
2017082814,4293.33,467.4424148,-0.005745529,16374.70849,18639.3301
2017082816,4332,1143.942125,0.009006995,16986.29273,18679.22808
2017082818,4341.84,366.1810755,0.002271468,16960.22831,18731.24912
2017082820,4377.82,534.9449061,0.008286809,17197.31117,18650.42765
2017082822,4379.99,857.7533069,0.00049568,17154.1346,18507.85466
2017082900,4371,418.8733683,-0.002052516,17160.86178,18500.62941
2017082902,4380.02,509.1596458,0.002063601,17161.69001,18233.11307
2017082904,4364.19,396.007445,-0.003614139,17115.72775,18187.44949
2017082906,4348.76,736.0147503,-0.003535593,17132.664,18130.12924
2017082908,4352.76,534.1004803,0.000919802,17125.23116,18202.17717
2017082910,4378,664.0567495,0.00579862,16978.86116,18352.02283
2017082912,4607.79,3299.081124,0.052487437,16373.35589,17846.3221
2017082914,4576.26,1945.152573,-0.00684276,17020.30981,17720.36065
2017082916,4552.64,1142.426078,-0.00516142,16904.14787,17537.17978
2017082918,4584.86,590.3724764,0.007077212,17365.03968,17570.91189
2017082920,4612,893.7188858,0.005919483,17654.82112,17665.05423
2017082922,4578.82,750.6792544,-0.007194276,17749.14073,17525.00738
2017083000,4606.93,378.3292481,0.006139136,18036.56167,17525.93822
2017083002,4596.75,347.980601,-0.002209714,18400.14273,17570.4708
2017083004,4613,553.6512096,0.003535106,18451.49986,17493.30949
2017083006,4574.11,1081.505778,-0.008430522,18432.87692,17534.25596
2017083008,4522.18,1414.668576,-0.011353028,18237.97076,17298.11485
