P_avg,P_max,P_min,P_poc,P_std,V_avg,V_max,V_min,V_poc,V_std,L
1109.165,1129.8,1089.08,0.036712302,13.21451748,1814.233375,3848.344567,362.5511997,1.921358859,1122.731384,0
1106.669,1129.8,1073.04,0.051289048,17.28734119,2020.934818,4286.111634,362.5511997,1.94145818,1368.849655,0
1107.441,1129.8,1073.04,0.051253295,16.57217846,1988.98268,4286.111634,362.5511997,1.972646858,1363.16362,0
1089.462,1120.28,950.01,0.15628815,51.12499319,2942.655863,12527.07199,362.5511997,4.133857765,3615.977194,0
1077.201,1120.28,950.01,0.158067065,58.3866403,2894.083101,12527.07199,362.5511997,4.203238251,3605.707231,0
1064.605,1120.28,950.01,0.159937254,68.09797129,3027.733248,12527.07199,362.5511997,4.017698983,3606.040274,0
1049.278,1120.28,950.01,0.162273487,72.61386978,3046.236995,12527.07199,362.5511997,3.993294287,3597.902822,0
1035.866,1120.28,950.01,0.164374543,72.97049696,3148.668342,12527.07199,362.5511997,3.863385872,3545.226981,0
1024.701,1120.28,950.01,0.166165545,67.62673854,3278.251413,12527.07199,362.5511997,3.710673545,3478.527752,0
1014.425,1109.84,950.01,0.157557237,58.70892574,3280.899886,12527.07199,362.5511997,3.707678141,3476.312001,0
1001.969,1096.8,950.01,0.146501538,48.5506964,3364.103298,12527.07199,674.4830998,3.523253551,3407.987798,0
992.781,1096.8,950.01,0.147857382,41.83600933,3010.34823,12527.07199,674.4830998,3.937281665,3484.393194,0
981.15,1017.52,950.01,0.068807012,20.35949083,2874.721813,12527.07199,674.4830998,4.123038562,3551.080121,0
979.559,1017.52,934.1,0.085160771,23.45034918,1960.635268,3637.245823,674.4830998,1.511123854,1165.701543,0
970.173,1017.52,898.98,0.122184394,33.9687605,2286.618449,6622.448756,674.4830998,2.601206011,1853.946026,0
963.697,1017.52,898.98,0.123005467,40.76178522,2198.350484,6622.448756,674.4830998,2.705649394,1802.803719,0
958.732,1017.52,898.98,0.123642478,43.93882813,2401.055968,6622.448756,674.4830998,2.477229076,1854.251652,0
952.851,1017.52,898.98,0.1244056,45.6064938,2430.729107,6622.448756,674.4830998,2.446988288,1848.714551,0
941.462,1017.52,890.85,0.134546057,45.4289836,2388.384816,6622.448756,674.4830998,2.490371576,1858.531889,0
929.387,985.28,890.85,0.101604606,38.48323186,2511.651536,6622.448756,707.7125276,2.354919122,1771.046388,0
920.248,981.16,890.85,0.098136589,34.36637336,2604.763468,6622.448756,707.7125276,2.270738323,1717.784136,0
908.635,980.49,865.03,0.127069725,30.94720711,2700.272506,6622.448756,707.7125276,2.190421972,1627.279139,0
894.787,934.1,842.01,0.102918348,25.77174424,2988.677164,6622.448756,1703.651334,1.645810889,1484.176435,0
884.139,914.96,827.62,0.098785372,29.45757795,2841.384913,6622.448756,1703.651334,1.731126747,1513.146389,0
877.232,914.96,827.62,0.099563171,33.42188697,2288.878489,3730.913336,1097.384516,1.150576071,836.5915008,0
875.794,914.96,827.62,0.099726648,32.66872143,2279.290708,3730.913336,1097.384516,1.155415942,831.1934604,0
871.995,914.96,827.62,0.100161125,30.09834335,2065.767802,3591.759111,1097.384516,1.207480624,676.7678327,0
867.923,896.77,827.62,0.079672966,26.13305572,2044.168183,3591.759111,1097.384516,1.220239418,673.5562572,0
867.637,896.77,827.62,0.079699229,25.86857512,1936.051725,3591.759111,729.8919427,1.47819768,791.5660702,0
868.061,901.01,827.62,0.08454475,26.42783947,1965.252086,3591.759111,729.8919427,1.456234133,795.7562755,0
867.268,901.01,827.62,0.084622055,25.67494403,1867.423596,3591.759111,729.8919427,1.532521691,833.0968354,0
869.742,901.01,827.62,0.084381345,26.61025149,1787.657419,3591.759111,729.8919427,1.600903583,886.964903,0
876.161,906.2,827.62,0.089686713,26.91764331,1510.570315,2658.688357,729.8919427,1.276866357,666.0370434,0
883.293,906.2,829.91,0.086369981,21.53817182,1348.217969,2658.688357,289.7605717,1.757080709,749.5971766,0
892.056,917.54,874.01,0.048797385,13.86540956,1324.157705,2658.688357,289.7605717,1.789007289,762.2967051,0
896.713,931.47,874.01,0.064078473,18.30490162,1172.453638,2199.153916,289.7605717,1.628544859,601.1159071,0
902.163,931.47,874.24,0.06343643,18.89803873,1114.649774,2199.153916,289.7605717,1.712998458,583.4277516,0
907.692,931.47,885.96,0.050138153,17.88165777,990.454795,2199.153916,289.7605717,1.927794538,489.8831811,0
909.082,931.47,885.96,0.050061491,16.67984999,984.7068763,2199.153916,289.7605717,1.939047437,493.6032069,0
910.33,931.47,885.96,0.04999286,16.47440709,808.7086088,1147.419744,289.7605717,1.060529297,280.0338767,0
912.14,931.47,889.77,0.045716666,14.35776909,806.4877813,1141.647689,289.7605717,1.056292652,277.1221663,0
913.596,931.47,898.94,0.035606548,12.44851459,862.4910874,1466.022623,289.7605717,1.363796181,347.1938548,0
913.024,931.47,898.94,0.035628855,12.94752846,827.817069,1466.022623,289.7605717,1.420920268,368.4726607,0
913.806,931.47,900.48,0.033913106,12.21797328,829.2738832,1466.022623,304.3287135,1.400856741,366.1303587,0
913.027,931.47,900.48,0.033942041,12.20177496,779.0950267,1466.022623,304.3287135,1.491081151,395.1749483,0
908.006,929.53,881.26,0.053160442,13.97157209,818.3877314,1534.574736,304.3287135,1.503255701,450.8430559,0
904.032,929.53,881.26,0.053394128,13.11710656,737.5739745,1534.574736,209.5080773,1.796520355,482.4770844,0
900.52,913.49,881.26,0.035790432,9.818462201,692.3421846,1534.574736,209.5080773,1.913889819,497.4274003,0
898.822,913.49,881.26,0.035858045,10.95740724,655.354583,1534.574736,209.5080773,2.021907976,512.5943212,0
895.814,909.75,881.26,0.031803477,10.6065066,697.3096367,1534.574736,209.5080773,1.900255767,510.0977201,0
895.491,909.75,881.26,0.031814948,10.37412534,686.2323158,1534.574736,209.5080773,1.930930136,500.8926112,0
895.303,909.75,881.26,0.031821629,10.21191358,622.609733,1534.574736,209.5080773,2.128245976,425.5845885,0
895.434,909.75,881.26,0.031816974,10.29377827,620.1535077,1534.574736,209.5080773,2.136675262,426.6062805,0
893.747,909.75,881.26,0.03187703,9.589663475,679.0830632,1534.574736,209.5080773,1.951258587,418.7614408,0
892.186,902.45,881.26,0.023750653,7.798475919,717.6355788,1534.574736,209.5080773,1.846433897,403.0615435,0
893.38,902.45,883.41,0.02131232,6.788392053,640.201183,1014.43826,209.5080773,1.257308178,286.0830063,0
894.126,902.45,883.41,0.021294538,6.633631819,697.2100128,1014.43826,302.5367397,1.021071854,244.5008021,0
895.319,906.34,883.41,0.025610983,7.680525807,725.4059872,1014.43826,302.5367397,0.981383574,213.40098,0
896.797,906.34,883.41,0.025568774,6.829900032,752.1635602,1014.43826,449.5856265,0.750970485,165.9979261,0
897.811,906.34,889.89,0.018322342,5.173405176,703.6036225,1014.43826,373.1224011,0.911473219,199.0908989,0
897.531,906.34,889.89,0.018328058,5.066520722,656.8105594,893.6242687,373.1224011,0.792468787,170.9125007,0
897.986,907,889.89,0.019053749,5.719574965,626.753055,893.6242687,373.1224011,0.830473603,163.3741027,0
898.045,907,889.89,0.019052497,5.766029348,645.6581248,893.6242687,373.1224011,0.806157078,151.0698052,0
899.189,907,893.2,0.015347163,5.059904369,648.2448685,919.4917053,373.1224011,0.84284401,155.9307123,0
900.152,907,893.2,0.015330744,4.906267647,743.230274,1690.372516,373.1224011,1.772331081,366.0787451,0
901.232,907,893.55,0.014924015,4.36470643,713.4468239,1690.372516,373.1224011,1.846318563,376.508965,0
902.038,907,893.55,0.01491068,4.072822663,656.5086646,1690.372516,210.2147829,2.254589791,407.1961295,0
902.072,907,893.55,0.014910118,4.113937827,691.5791401,1690.372516,210.2147829,2.140257922,419.110132,0
902.608,907,893.55,0.014901264,4.118278497,734.085437,1690.372516,210.2147829,2.01632897,426.9046774,0
904.186,909.33,898.03,0.012497429,3.177683293,796.7504816,1690.372516,210.2147829,1.857743129,413.8242838,0
905.074,909.33,901.33,0.008839056,2.415630582,776.4592875,1690.372516,210.2147829,1.906291491,432.0320586,0
905.806,914.32,901.33,0.014340819,3.785032511,818.2090782,1690.372516,210.2147829,1.809021401,425.6102861,0
906.711,914.32,901.33,0.014326505,3.953056342,781.2479979,1690.372516,210.2147829,1.894606754,457.7714169,0
903.078,914.32,865,0.054613223,13.82230629,1137.804169,4485.053419,210.2147829,3.757095247,1261.116449,0
896.099,914.32,833.98,0.089655272,25.83386169,1378.763666,4485.053419,210.2147829,3.100486864,1570.640253,0
886.511,914.32,808.12,0.119795468,37.66087992,1996.405868,6638.818289,210.2147829,3.220088465,2241.423748,0
875.637,914.32,795.55,0.135638398,46.59571846,2461.768246,6638.818289,269.0255216,2.58748677,2311.370302,0
862.149,914.32,771.8,0.165307853,55.31690729,2848.100467,6638.818289,269.0255216,2.236505643,2357.786765,0
851.85,914.32,771.8,0.167306451,56.02493512,3228.085073,6638.818289,269.0255216,1.973241914,2332.040433,0
839.787,914.32,771.8,0.1697097,55.25491694,3348.92321,6638.818289,269.0255216,1.90204205,2232.949675,0
826.958,914.32,771.8,0.172342489,52.77628356,3456.192463,6638.818289,269.0255216,1.843008697,2093.975375,0
811.924,911.43,763.98,0.181605668,46.11811266,3592.092137,6638.818289,269.0255216,1.773282122,1952.32198,0
797.582,865,763.98,0.126657823,31.8189122,3719.662118,6638.818289,1416.288217,1.404033459,1741.335634,0
787.227,833.98,761.45,0.092133527,23.09416235,3408.456515,6638.818289,1372.997385,1.544928293,1863.174423,0
779.636,808.12,758.07,0.064196625,17.91373725,3125.301743,6638.818289,1268.419766,1.718361606,1959.097694,0
774.706,802.06,758.07,0.056782831,15.87113537,2590.076293,4863.838566,1268.419766,1.388151696,1588.642673,0
771.862,802.06,758.07,0.056992053,14.17893571,2246.166456,4839.037754,1268.419766,1.589649769,1403.145019,0
772.568,802.06,758.07,0.056939972,14.35023716,1829.234937,4795.021504,669.7225667,2.255204541,1142.279317,0
771.851,794.89,758.07,0.047703508,12.80935635,1505.579956,2305.716406,669.7225667,1.086620364,468.2254499,0
773.655,806.74,758.07,0.062909178,16.25329317,1463.158524,2305.716406,669.7225667,1.118124805,413.5205947,0
777.742,819.49,758.07,0.078972204,21.82426315,1433.497016,2305.716406,669.7225667,1.141260722,427.6526205,0
784.251,829.07,758.07,0.09053224,26.47469712,1373.580584,1783.93989,669.7225667,0.811177252,320.3944601,0
788.197,829.07,758.07,0.090079003,26.72458088,1355.161321,1783.93989,669.7225667,0.822202719,314.7063041,0
792.97,829.07,758.07,0.089536805,25.65778634,1276.986994,1783.93989,591.2541122,0.93398428,396.3001618,0
795.824,829.07,758.82,0.088273287,22.76909318,1206.770068,1783.93989,566.2505058,1.009048382,455.7354441,0
798.413,829.07,767.11,0.077603947,19.30192912,1138.567724,1783.93989,566.2505058,1.069492274,492.0536493,0
799.308,829.07,776.06,0.066319867,17.84142732,1097.688204,1783.93989,566.2505058,1.109321736,482.5259287,0
801.398,829.07,776.06,0.066146908,16.34098923,1139.754938,1783.93989,566.2505058,1.068378249,458.8250724,0
802.177,829.07,776.06,0.066082673,16.18117016,1078.006343,1783.93989,566.2505058,1.129575343,437.2566756,0
802.194,829.07,776.06,0.066081272,16.18658512,990.5277044,1706.552082,566.2505058,1.151206141,361.2300881,0
802.04,829.07,776.06,0.06609396,16.01011,1057.743989,1791.835989,566.2505058,1.15867875,441.5403245,0
801.735,826.02,776.06,0.062314855,15.45747518,1066.72902,1796.402387,566.2505058,1.153199977,456.858561,0
803.125,826.02,776.06,0.062207004,16.61232424,980.5337134,1796.402387,498.5796365,1.323588096,476.1715975,0
805.007,828,776.06,0.064521178,18.3497115,1019.640698,1796.402387,498.5796365,1.272823606,456.2924923,0
808.932,828,776.06,0.064208116,18.17430714,1026.270043,1796.402387,498.5796365,1.264601612,449.4029733,0
814.216,837.55,776.06,0.075520501,18.03030486,1043.282084,1796.402387,498.5796365,1.243980674,434.6421892,0
818.709,837.55,799.76,0.046158037,12.08287719,1007.724297,1796.402387,498.5796365,1.287874823,451.3507488,0
820.933,837.55,802.68,0.042476061,10.08997087,938.0435152,1796.402387,393.5820875,1.495474652,489.3579039,0
822.814,837.55,806.91,0.037238064,7.803305852,864.7015772,1796.402387,207.5663661,1.83743856,541.0933615,0
825.132,837.55,817.95,0.023753775,5.718352132,848.355369,1796.402387,207.5663661,1.872842536,542.0694595,0
826.794,837.55,820.99,0.020029173,5.81347324,709.5346462,1796.402387,207.5663661,2.239264889,442.149778,0
826.542,837.55,820.99,0.02003528,5.904655037,602.5893229,982.3239626,207.5663661,1.285714113,227.0870104,0
827.572,837.55,820.99,0.020010344,5.799639452,594.5585844,982.3239626,207.5663661,1.30308033,232.5287158,0
827.689,837.55,820.99,0.020007515,5.820995428,517.3975874,774.6607717,207.5663661,1.096051507,217.0670455,0
827.632,837.55,820.99,0.020008893,5.843641939,487.695627,774.6607717,207.5663661,1.162803958,219.8636062,0
825.784,834.57,819.07,0.018770042,5.250644828,519.8471254,1096.175756,207.5663661,1.709366747,281.3897914,0
825.512,834.57,818.27,0.019745322,5.586306273,517.9691101,1096.175756,207.5663661,1.715564447,280.4087063,0
825.276,834.57,818.27,0.019750968,5.797036024,501.6860731,1096.175756,207.5663661,1.77124588,292.88445,0
825.305,834.57,818.27,0.019750274,5.776681573,503.9784702,1096.175756,210.7139926,1.756943631,290.405824,0
823.879,834.57,815.83,0.022746059,6.208194316,452.6134936,1096.175756,210.7139926,1.9563309,288.3209544,0
821.922,831.67,815,0.02028173,5.508738109,463.1460711,1096.175756,210.7139926,1.91184125,288.2564853,0
821.559,831.67,815,0.020290691,5.512800156,426.0972049,1096.175756,210.7139926,2.078074564,274.041719,0
820.092,829.17,815,0.017278549,4.353159261,428.8545743,1096.175756,210.7139926,2.064713347,274.0929538,0
819.253,825.29,815,0.012560223,3.010611049,453.0965206,1096.175756,230.490337,1.910598249,263.1581605,0
818.062,821.78,813.38,0.01026817,2.696416552,455.6845408,1096.175756,230.490337,1.899747175,261.9981298,0
817.446,821.78,812.91,0.01085087,3.112134673,396.2066489,641.5869652,230.490337,1.037581346,139.152834,0
816.808,821.78,811.89,0.012108109,3.54789703,367.3407738,508.9545365,230.490337,0.758054154,109.3418375,0
816.348,821.78,811.89,0.012114931,3.436370178,373.1043938,508.9545365,230.490337,0.74634393,102.65667,0
816.356,821.86,811.89,0.012212809,3.450485312,377.0540898,508.9545365,232.0416565,0.734411554,97.17332311,0
817.777,830.04,811.89,0.022194315,5.516998077,397.5311357,508.9545365,269.9872969,0.60112836,83.88697046,0
819.136,830.04,811.89,0.022157493,6.365495878,394.9310658,501.3968372,269.9872969,0.585949196,80.37929142,0
819.818,830.04,811.89,0.02213906,6.803175402,386.1833496,501.3968372,268.9833292,0.601821669,89.29669413,0
821.018,830.04,811.89,0.022106702,7.291675314,396.2372124,546.3845729,268.9833292,0.700088823,101.5759712,0
821.829,830.04,811.89,0.022084886,7.701740712,413.6907114,627.6684461,268.9833292,0.867036912,124.7825168,0
822.677,830.04,811.89,0.022062122,7.112396143,428.3875226,627.6684461,268.9833292,0.837291233,126.5819689,0
824.191,830.04,811.89,0.022021595,6.37554782,431.008865,627.6684461,268.9833292,0.832198932,128.5184947,0
826.201,831.99,815.04,0.020515589,5.109221402,459.4937987,637.7775516,268.9833292,0.802609792,140.3154456,0
827.542,831.99,821.86,0.012241071,3.290467039,481.0580701,637.7775516,268.9833292,0.766631401,127.0397783,0
828.525,831.99,821.86,0.012226547,2.842191056,493.5417255,637.7775516,268.9833292,0.74724021,108.8214645,0
828.521,831.99,821.86,0.012226606,2.839849174,485.6622273,637.7775516,268.9833292,0.75936361,116.0013417,0
828.843,831.99,821.86,0.012221856,3.02505482,524.9135627,875.4671909,268.9833292,1.155397583,169.1943992,0
829.11,831.99,821.86,0.01221792,2.930255961,549.2556922,875.4671909,358.017134,0.942093208,143.9025515,0
830.925,847.15,821.86,0.03043596,6.409756886,603.1030836,1084.858486,358.017134,1.205169351,222.1706533,0
834.434,863.98,821.86,0.05047733,12.17979128,609.5186166,1084.858486,358.017134,1.192484253,223.8785649,0
840.248,880,828.05,0.061826984,17.99769973,740.6606154,1819.792646,358.017134,1.973610425,438.8931773,0
845.489,880.46,828.45,0.061514697,21.36660866,864.8073424,1819.792646,358.017134,1.690290358,536.6326894,0
849.951,880.46,828.45,0.061191763,22.84242371,894.6124903,1819.792646,358.017134,1.633976194,530.8682485,0
855.21,881.04,829.36,0.060429602,23.3895727,933.1080748,1819.792646,358.017134,1.566566137,513.0570944,0
860.163,881.22,829.36,0.060290898,23.09799561,955.6418343,1819.792646,358.017134,1.529626958,491.2745581,0
867.363,902,829.36,0.083748096,23.86020539,1041.692244,1819.792646,512.4046251,1.255061683,448.4615415,0
874.681,904.99,829.36,0.086465809,22.94928876,1084.716376,1819.792646,512.4046251,1.205280984,451.3711022,0
881.62,904.99,847.15,0.065606497,17.58741722,1115.370777,1819.792646,620.1614464,1.075544764,417.3085285,0
887.504,905.99,863.98,0.047334998,14.31144313,1067.048488,1819.792646,601.6355975,1.141613583,448.0773831,0
890.396,905.99,876.61,0.032996554,11.71636197,1137.443625,1819.792646,601.6355975,1.070960372,437.7560139,0
891.66,905.99,876.61,0.032949779,11.13772369,1017.80847,1769.077531,601.6355975,1.147015346,391.5986702,0
893.532,905.99,876.61,0.032880747,10.60663608,866.4382857,1395.775146,255.3756923,1.316192362,360.2337016,0
895.239,905.99,881.04,0.027869653,8.80047909,805.0033559,1395.775146,255.3756923,1.416639378,397.5392533,0
896.259,905.99,881.22,0.0276371,7.461101274,769.4054576,1395.775146,255.3756923,1.482182694,405.0505596,0
897.831,905.99,891.24,0.016428482,5.27670657,776.5199585,1395.775146,255.3756923,1.468602888,402.7562153,0
893.93,905.99,862.99,0.0481022,11.99504249,895.3092165,2406.413812,255.3756923,2.402564477,648.0734775,0
890.881,905.99,862.99,0.048266828,12.72428426,990.9355048,2406.413812,255.3756923,2.170714551,773.7274238,0
888.238,905.99,862.99,0.048410449,13.62147716,1020.154274,2406.413812,255.3756923,2.108541987,772.0260884,0
884.452,899.18,862.99,0.040917992,13.39884721,1048.081392,2406.413812,255.3756923,2.052357895,760.164549,0
882.544,899.18,862.99,0.041006454,13.42066417,941.817804,2406.413812,255.3756923,2.2839217,780.1697159,0
882.05,899.18,862.99,0.04102942,13.0947097,916.3970975,2406.413812,255.3756923,2.347277316,795.6834518,0
880.707,896.94,862.99,0.038548575,11.763689,990.3878172,2406.413812,321.4797325,2.105169352,761.0326904,0
880.054,896.94,862.99,0.038577178,11.12758754,987.2399795,2406.413812,290.0013557,2.143766967,764.1655495,0
879.295,896.94,862.99,0.038610478,10.52221275,978.5143908,2406.413812,290.0013557,2.162883322,770.4011965,0
878.112,887.7,862.99,0.028139918,8.850147268,965.3993212,2406.413812,290.0013557,2.19226636,776.9225278,0
880.701,888.88,868.13,0.023560777,7.638874917,897.4503912,2261.971389,290.0013557,2.19730255,657.4111524,0
882.13,888.88,868.13,0.02352261,7.6864296,752.8380434,1726.924512,290.0013557,1.908675005,450.3478791,0
884.017,891.19,868.13,0.026085471,7.317943017,716.5531293,1726.924512,290.0013557,2.005326748,432.5372181,0
886.506,893.02,873.82,0.02165806,5.256494819,792.9389347,1726.924512,290.0013557,1.81214857,522.8142791,0
889.658,905.34,883.65,0.024380155,6.174414592,900.483671,1726.924512,290.0013557,1.595723723,528.3055281,0
891.136,905.34,883.65,0.024339719,7.316918295,937.6764097,1726.924512,290.0013557,1.532429676,499.0307245,0
893.357,907.96,883.65,0.027211966,8.734002582,936.7216016,1726.924512,290.0013557,1.533991694,498.9173793,0
894.743,907.96,883.65,0.027169813,8.739290653,982.6174502,1726.924512,445.7516064,1.303836916,451.6894306,0
896.239,907.96,885.11,0.025495431,7.866212487,976.163627,1726.924512,381.2133743,1.378571277,460.5860379,0
897.77,907.96,888.79,0.021352908,6.888655731,965.534848,1726.924512,381.2133743,1.393746834,472.3294499,0
897.975,907.96,888.79,0.021348033,6.619965173,843.1529129,1644.764831,381.2133743,1.498602967,407.1867709,0
898.802,907.96,890.93,0.018947443,5.812335159,817.2255841,1644.764831,381.2133743,1.546147699,417.2487783,0
898.923,907.96,890.93,0.018944893,5.646491634,793.2494183,1644.764831,381.2133743,1.592880408,428.390209,0
898.475,907.96,888.54,0.021614402,6.306082161,725.6235243,1408.586629,381.2133743,1.415848881,318.2534382,0
897.507,907.96,888.54,0.021637714,5.862553577,689.4253993,1046.605379,381.2133743,0.965139964,243.824838,0
896.87,907.96,888.54,0.021653082,5.602469693,691.5959646,1046.605379,381.2133743,0.962110884,244.4324297,0
895.803,901.01,888.54,0.013920471,4.059179036,659.5849759,1046.605379,381.2133743,1.008804065,221.5186766,0
895.637,900.42,888.54,0.013264302,3.851193322,620.5188386,1046.605379,358.2984696,1.109244178,237.8512089,0
895.723,900.42,888.54,0.013263029,3.933678092,604.5608313,1046.605379,221.6333006,1.36458076,260.0117017,0
895.261,899.47,888.54,0.01220873,3.575753067,578.449493,1046.605379,192.754587,1.476102585,288.3887788,1
895.751,899.47,888.54,0.012202052,3.235897437,540.0086499,1046.605379,118.6967303,1.718321825,323.0809393,1
898.446,924.01,888.54,0.039479279,9.536285324,660.8037199,1764.525323,118.6967303,2.490646683,504.7203628,1
900.706,924.01,888.54,0.03938022,10.56656908,659.8511016,1764.525323,118.6967303,2.494242396,505.0485934,1
903.602,924.01,895.66,0.031374433,10.82707594,612.0293913,1764.525323,118.6967303,2.689133261,495.1185239,1
906.02,924.01,895.8,0.031136178,11.5333343,584.7531064,1764.525323,118.6967303,2.814570072,475.6479113,1
908.556,924.01,895.8,0.031049269,11.89463763,572.7727649,1764.525323,118.6967303,2.873440732,472.1591859,1
911.206,924.01,895.8,0.030958971,12.05666547,552.5190444,1764.525323,118.6967303,2.978772604,472.0776569,1
913.204,924.01,895.8,0.030891236,11.51705614,542.7051133,1764.525323,118.6967303,3.032638817,477.5522503,1
915.107,924.01,895.8,0.030826996,10.52507065,554.6647084,1764.525323,118.6967303,2.967249525,470.0567886,1
917.5,924.01,895.83,0.030713896,8.085249945,563.0489635,1764.525323,118.6967303,2.923064776,463.5874772,0
920.412,924.95,915,0.010810376,3.152733558,564.5300869,1764.525323,133.5079635,2.889159316,462.0311157,0
920.209,924.95,915,0.010812761,2.954440913,398.3465023,773.8425294,102.6894778,1.684847357,215.6110467,0
921.509,928,917.5,0.011394354,3.252767881,424.836471,773.8425294,102.6894778,1.579791514,243.7835075,0
923.324,935.65,918.5,0.018574195,5.230020608,446.9607543,773.8425294,102.6894778,1.501592802,259.8907572,0
924.589,935.65,918.5,0.018548782,5.793224874,391.2406475,763.899038,102.6894778,1.690032885,241.0709508,0
926.053,936.11,918.5,0.01901619,6.696810269,346.4092432,763.899038,102.6894778,1.908752648,230.4903437,0
